country,year,Number_of_suicides_per_100K,gdp_per_capita,country_code,latitude,longitude
Albania,1987,20.5,796,AL,41.153332,20.168331
Albania,1988,16.99,769,AL,41.153332,20.168331
Albania,1989,14.41,833,AL,41.153332,20.168331
Albania,1992,12.88,251,AL,41.153332,20.168331
Albania,1993,22.82,437,AL,41.153332,20.168331
Albania,1994,22.37,697,AL,41.153332,20.168331
Albania,1995,23.93,835,AL,41.153332,20.168331
Albania,1996,23.27,1127,AL,41.153332,20.168331
Albania,1997,56.76,793,AL,41.153332,20.168331
Albania,1998,40.89,899,AL,41.153332,20.168331
Albania,1999,39.43,1127,AL,41.153332,20.168331
Albania,2000,21.04,1299,AL,41.153332,20.168331
Albania,2001,16.61,1451,AL,41.153332,20.168331
Albania,2002,45.8,1573,AL,41.153332,20.168331
Albania,2003,38.56,2021,AL,41.153332,20.168331
Albania,2004,41.78,2544,AL,41.153332,20.168331
Albania,2007,37.84,3863,AL,41.153332,20.168331
Albania,2008,42.25,4672,AL,41.153332,20.168331
Albania,2010,21.7,4359,AL,41.153332,20.168331
Antigua and Barbuda,1990,17.24,7744,AG,17.060816,-61.796428
Antigua and Barbuda,1993,15,8453,AG,17.060816,-61.796428
Antigua and Barbuda,2000,39.97,11021,AG,17.060816,-61.796428
Antigua and Barbuda,2001,19.45,10468,AG,17.060816,-61.796428
Antigua and Barbuda,2003,27.82,10878,AG,17.060816,-61.796428
Antigua and Barbuda,2004,36.06,11535,AG,17.060816,-61.796428
Antigua and Barbuda,2007,7.98,15775,AG,17.060816,-61.796428
Antigua and Barbuda,2015,15.62,14853,AG,17.060816,-61.796428
Argentina,1985,107.06,3264,AR,-38.416097,-63.616672
Argentina,1986,40.42,4072,AR,-38.416097,-63.616672
Argentina,1987,102.53,4026,AR,-38.416097,-63.616672
Argentina,1988,32.63,4458,AR,-38.416097,-63.616672
Argentina,1989,30.58,2670,AR,-38.416097,-63.616672
Argentina,1990,29.02,4859,AR,-38.416097,-63.616672
Argentina,1991,90.6,6404,AR,-38.416097,-63.616672
Argentina,1992,22.93,7615,AR,-38.416097,-63.616672
Argentina,1993,111.27,7768,AR,-38.416097,-63.616672
Argentina,1994,66.34,8328,AR,-38.416097,-63.616672
Argentina,1995,28.17,8232,AR,-38.416097,-63.616672
Argentina,1996,28.23,8563,AR,-38.416097,-63.616672
Argentina,1997,55.54,9057,AR,-38.416097,-63.616672
Argentina,1998,20.83,9126,AR,-38.416097,-63.616672
Argentina,1999,35.04,8546,AR,-38.416097,-63.616672
Argentina,2000,20.07,8462,AR,-38.416097,-63.616672
Argentina,2001,24.58,7900,AR,-38.416097,-63.616672
Argentina,2002,44.73,2840,AR,-38.416097,-63.616672
Argentina,2003,25.06,3668,AR,-38.416097,-63.616672
Argentina,2004,86.43,4683,AR,-38.416097,-63.616672
Argentina,2005,23.24,5590,AR,-38.416097,-63.616672
Argentina,2006,19.64,6475,AR,-38.416097,-63.616672
Argentina,2007,19.07,7918,AR,-38.416097,-63.616672
Argentina,2008,89.15,9843,AR,-38.416097,-63.616672
Argentina,2009,30.62,8961,AR,-38.416097,-63.616672
Argentina,2010,93.5,11273,AR,-38.416097,-63.616672
Argentina,2011,17.48,13946,AR,-38.416097,-63.616672
Argentina,2012,85.37,14203,AR,-38.416097,-63.616672
Argentina,2013,28.06,14206,AR,-38.416097,-63.616672
Argentina,2014,19.42,13400,AR,-38.416097,-63.616672
Argentina,2015,17.26,14981,AR,-38.416097,-63.616672
Argentina,2017,4.593049565,14613.04182,AR,-38.416097,-63.616672
Argentina,2018,5.598444499,11795.15939,AR,-38.416097,-63.616672
Argentina,2019,5.592060583,10056.63794,AR,-38.416097,-63.616672
Armenia,1990,13.83,756,AM,40.069099,45.038189
Armenia,1991,34.22,640,AM,40.069099,45.038189
Armenia,1992,31.51,385,AM,40.069099,45.038189
Armenia,1993,30.94,357,AM,40.069099,45.038189
Armenia,1994,23.4,387,AM,40.069099,45.038189
Armenia,1995,35.71,426,AM,40.069099,45.038189
Armenia,1996,17.79,458,AM,40.069099,45.038189
Armenia,1997,22.81,465,AM,40.069099,45.038189
Armenia,1998,12.33,532,AM,40.069099,45.038189
Armenia,1999,16.93,515,AM,40.069099,45.038189
Armenia,2000,16.79,530,AM,40.069099,45.038189
Armenia,2001,10.3,587,AM,40.069099,45.038189
Armenia,2002,5.31,788,AM,40.069099,45.038189
Armenia,2003,22.37,928,AM,40.069099,45.038189
Armenia,2006,15.52,2310,AM,40.069099,45.038189
Armenia,2007,9.98,3366,AM,40.069099,45.038189
Armenia,2008,21.98,3829,AM,40.069099,45.038189
Armenia,2009,29.18,3215,AM,40.069099,45.038189
Armenia,2010,21.57,3460,AM,40.069099,45.038189
Armenia,2011,22.64,3798,AM,40.069099,45.038189
Armenia,2012,20.03,3773,AM,40.069099,45.038189
Armenia,2013,18.67,3957,AM,40.069099,45.038189
Armenia,2014,28.15,4142,AM,40.069099,45.038189
Armenia,2015,36.02,3775,AM,40.069099,45.038189
Armenia,2016,31.89,3788,AM,40.069099,45.038189
Armenia,2017,1.33243429,3914.527854,AM,40.069099,45.038189
Armenia,2018,1.656938324,4220.540321,AM,40.069099,45.038189
Armenia,2019,1.524497252,4604.646324,AM,40.069099,45.038189
Aruba,1995,308.51,17949,AW,12.52111,-69.968338
Aruba,1999,115.47,21027,AW,12.52111,-69.968338
Aruba,2000,191.42,22333,AW,12.52111,-69.968338
Aruba,2001,27.28,22317,AW,12.52111,-69.968338
Aruba,2002,126.46,21987,AW,12.52111,-69.968338
Aruba,2003,12.93,22345,AW,12.52111,-69.968338
Aruba,2004,176.72,24133,AW,12.52111,-69.968338
Aruba,2005,59.92,24870,AW,12.52111,-69.968338
Aruba,2006,77.66,25622,AW,12.52111,-69.968338
Aruba,2007,79.1,27672,AW,12.52111,-69.968338
Aruba,2008,35.94,29447,AW,12.52111,-69.968338
Aruba,2009,42.23,26361,AW,12.52111,-69.968338
Aruba,2010,48.83,25974,AW,12.52111,-69.968338
Aruba,2011,59.86,27066,AW,12.52111,-69.968338
Australia,1985,127.12,12374,AU,-25.274398,133.775136
Australia,1986,106.68,12288,AU,-25.274398,133.775136
Australia,1987,116.87,12564,AU,-25.274398,133.775136
Australia,1988,142.82,15393,AU,-25.274398,133.775136
Australia,1989,135.62,19223,AU,-25.274398,133.775136
Australia,1990,138.33,19665,AU,-25.274398,133.775136
Australia,1991,125.19,20320,AU,-25.274398,133.775136
Australia,1992,115.2,20050,AU,-25.274398,133.775136
Australia,1993,126.75,19030,AU,-25.274398,133.775136
Australia,1994,118.87,19469,AU,-25.274398,133.775136
Australia,1995,30.84,21902,AU,-25.274398,133.775136
Australia,1996,48.81,23526,AU,-25.274398,133.775136
Australia,1997,131.55,25234,AU,-25.274398,133.775136
Australia,1998,48.97,22897,AU,-25.274398,133.775136
Australia,1999,29.6,22016,AU,-25.274398,133.775136
Australia,2000,31.34,23219,AU,-25.274398,133.775136
Australia,2001,31.52,20860,AU,-25.274398,133.775136
Australia,2002,103.83,21474,AU,-25.274398,133.775136
Australia,2003,26.95,25059,AU,-25.274398,133.775136
Australia,2004,26.85,32454,AU,-25.274398,133.775136
Australia,2006,56.75,39014,AU,-25.274398,133.775136
Australia,2007,101.25,43171,AU,-25.274398,133.775136
Australia,2008,26.2,52315,AU,-25.274398,133.775136
Australia,2009,29.52,45128,AU,-25.274398,133.775136
Australia,2010,103.38,54887,AU,-25.274398,133.775136
Australia,2011,39.65,66770,AU,-25.274398,133.775136
Australia,2012,61.59,72669,AU,-25.274398,133.775136
Australia,2013,46.74,72856,AU,-25.274398,133.775136
Australia,2014,95.21,66809,AU,-25.274398,133.775136
Australia,2015,46.03,60656,AU,-25.274398,133.775136
Australia,2017,5.273600664,53934.25018,AU,-25.274398,133.775136
Australia,2018,5.042728413,57180.7794,AU,-25.274398,133.775136
Australia,2019,3.642431317,54875.28596,AU,-25.274398,133.775136
Australia,2020,3.465172426,51692.84275,AU,-25.274398,133.775136
Austria,1985,121.58,9759,AT,47.516231,14.550072
Austria,1986,98.65,13911,AT,47.516231,14.550072
Austria,1987,306.65,17415,AT,47.516231,14.550072
Austria,1988,83.41,18663,AT,47.516231,14.550072
Austria,1989,196.36,18544,AT,47.516231,14.550072
Austria,1990,87.07,23020,AT,47.516231,14.550072
Austria,1991,73.79,23808,AT,47.516231,14.550072
Austria,1992,247.67,26450,AT,47.516231,14.550072
Austria,1993,86.96,25611,AT,47.516231,14.550072
Austria,1994,267.53,27274,AT,47.516231,14.550072
Austria,1995,276.75,32237,AT,47.516231,14.550072
Austria,1996,111.39,31660,AT,47.516231,14.550072
Austria,1997,234.87,28325,AT,47.516231,14.550072
Austria,1998,58.54,28972,AT,47.516231,14.550072
Austria,1999,214.36,28722,AT,47.516231,14.550072
Austria,2000,140.15,25922,AT,47.516231,14.550072
Austria,2001,201.92,25848,AT,47.516231,14.550072
Austria,2002,225.06,27772,AT,47.516231,14.550072
Austria,2003,201.44,33889,AT,47.516231,14.550072
Austria,2004,204.95,38711,AT,47.516231,14.550072
Austria,2005,75.28,40367,AT,47.516231,14.550072
Austria,2006,175.78,42698,AT,47.516231,14.550072
Austria,2007,143.26,49218,AT,47.516231,14.550072
Austria,2008,49.74,54294,AT,47.516231,14.550072
Austria,2009,68.25,50356,AT,47.516231,14.550072
Austria,2010,39.71,49181,AT,47.516231,14.550072
Austria,2011,42.37,53923,AT,47.516231,14.550072
Austria,2012,39.84,50979,AT,47.516231,14.550072
Austria,2013,42.98,53229,AT,47.516231,14.550072
Austria,2014,165.7,54278,AT,47.516231,14.550072
Austria,2015,39.13,46484,AT,47.516231,14.550072
Austria,2016,50.43,46976,AT,47.516231,14.550072
Austria,2017,8.706953719,47312.00623,AT,47.516231,14.550072
Austria,2018,6.243975893,51461.43322,AT,47.516231,14.550072
Austria,2019,5.754556347,50114.40111,AT,47.516231,14.550072
Austria,2020,7.412920058,48586.80132,AT,47.516231,14.550072
Azerbaijan,1990,8.34,1439,AZ,40.143105,47.576927
Azerbaijan,1991,26.22,1398,AZ,40.143105,47.576927
Azerbaijan,1992,13.51,784,AZ,40.143105,47.576927
Azerbaijan,1993,9.35,617,AZ,40.143105,47.576927
Azerbaijan,1994,5.54,508,AZ,40.143105,47.576927
Azerbaijan,1995,12.04,462,AZ,40.143105,47.576927
Azerbaijan,1996,5.2,476,AZ,40.143105,47.576927
Azerbaijan,1997,11.54,590,AZ,40.143105,47.576927
Azerbaijan,1998,7.48,631,AZ,40.143105,47.576927
Azerbaijan,1999,1.48,645,AZ,40.143105,47.576927
Azerbaijan,2000,7.89,711,AZ,40.143105,47.576927
Azerbaijan,2001,18.66,759,AZ,40.143105,47.576927
Azerbaijan,2002,4.27,820,AZ,40.143105,47.576927
Azerbaijan,2003,15.88,948,AZ,40.143105,47.576927
Azerbaijan,2004,8.32,1122,AZ,40.143105,47.576927
Azerbaijan,2007,2.64,4172,AZ,40.143105,47.576927
Bahamas,1985,4.76,11393,BS,25.03428,-77.39628
Bahamas,1987,13.59,12286,BS,25.03428,-77.39628
Bahamas,1993,29.11,12698,BS,25.03428,-77.39628
Bahamas,1994,10.6,13073,BS,25.03428,-77.39628
Bahamas,1995,7.16,13473,BS,25.03428,-77.39628
Bahamas,1996,9.82,14297,BS,25.03428,-77.39628
Bahamas,1997,7.15,24740,BS,25.03428,-77.39628
Bahamas,1998,11.09,26269,BS,25.03428,-77.39628
Bahamas,1999,10.74,29019,BS,25.03428,-77.39628
Bahamas,2000,40.66,29942,BS,25.03428,-77.39628
Bahamas,2001,2.68,30122,BS,25.03428,-77.39628
Bahamas,2002,9.97,31432,BS,25.03428,-77.39628
Bahamas,2003,2.49,30704,BS,25.03428,-77.39628
Bahamas,2004,5.93,30671,BS,25.03428,-77.39628
Bahamas,2005,9.6,32596,BS,25.03428,-77.39628
Bahamas,2006,5.64,32957,BS,25.03428,-77.39628
Bahamas,2007,11.38,33710,BS,25.03428,-77.39628
Bahamas,2008,12.49,32746,BS,25.03428,-77.39628
Bahamas,2009,14.05,30450,BS,25.03428,-77.39628
Bahamas,2010,49.33,30239,BS,25.03428,-77.39628
Bahamas,2011,12.99,29761,BS,25.03428,-77.39628
Bahamas,2012,10,31204,BS,25.03428,-77.39628
Bahamas,2013,12.08,30455,BS,25.03428,-77.39628
Bahrain,1985,16.4,9980,BH,25.930414,50.637772
Bahrain,1987,22.04,9321,BH,25.930414,50.637772
Bahrain,1988,21.56,9501,BH,25.930414,50.637772
Bahrain,1999,14.76,11703,BH,25.930414,50.637772
Bahrain,2000,30.85,15345,BH,25.930414,50.637772
Bahrain,2001,13.26,14383,BH,25.930414,50.637772
Bahrain,2002,11.41,14572,BH,25.930414,50.637772
Bahrain,2003,23.88,15756,BH,25.930414,50.637772
Bahrain,2004,43.8,17497,BH,25.930414,50.637772
Bahrain,2005,24.42,19485,BH,25.930414,50.637772
Bahrain,2006,18.23,20826,BH,25.930414,50.637772
Bahrain,2007,25.48,22524,BH,25.930414,50.637772
Bahrain,2008,23.15,25106,BH,25.930414,50.637772
Bahrain,2009,14.8,20988,BH,25.930414,50.637772
Bahrain,2010,6.17,22572,BH,25.930414,50.637772
Bahrain,2011,8.55,26078,BH,25.930414,50.637772
Bahrain,2012,4.04,25587,BH,25.930414,50.637772
Bahrain,2013,2.49,26793,BH,25.930414,50.637772
Bahrain,2014,5.62,27503,BH,25.930414,50.637772
Barbados,1985,57.17,6137,BB,13.193887,-59.543198
Barbados,1986,32.18,6720,BB,13.193887,-59.543198
Barbados,1987,24.51,7333,BB,13.193887,-59.543198
Barbados,1988,49.76,7763,BB,13.193887,-59.543198
Barbados,1989,61.08,8541,BB,13.193887,-59.543198
Barbados,1990,98.16,8537,BB,13.193887,-59.543198
Barbados,1991,64.89,8469,BB,13.193887,-59.543198
Barbados,1992,50.91,8129,BB,13.193887,-59.543198
Barbados,1993,85.64,8540,BB,13.193887,-59.543198
Barbados,1994,41.6,8953,BB,13.193887,-59.543198
Barbados,1995,45.74,9378,BB,13.193887,-59.543198
Barbados,2000,32.17,12430,BB,13.193887,-59.543198
Barbados,2001,8.65,12348,BB,13.193887,-59.543198
Barbados,2004,7.79,13786,BB,13.193887,-59.543198
Barbados,2005,2.58,15230,BB,13.193887,-59.543198
Barbados,2006,45.38,16531,BB,13.193887,-59.543198
Barbados,2008,2.31,17760,BB,13.193887,-59.543198
Barbados,2009,28.8,17007,BB,13.193887,-59.543198
Barbados,2010,7.62,17034,BB,13.193887,-59.543198
Belarus,1990,52.67,2301,BY,53.709807,27.953389
Belarus,1991,199.94,1899,BY,53.709807,27.953389
Belarus,1992,89.08,1780,BY,53.709807,27.953389
Belarus,1993,62.57,1689,BY,53.709807,27.953389
Belarus,1994,67.41,1547,BY,53.709807,27.953389
Belarus,1995,267.54,1444,BY,53.709807,27.953389
Belarus,1996,88.24,1524,BY,53.709807,27.953389
Belarus,1997,151.87,1458,BY,53.709807,27.953389
Belarus,1998,334.26,1570,BY,53.709807,27.953389
Belarus,1999,144.98,1269,BY,53.709807,27.953389
Belarus,2000,120.58,1335,BY,53.709807,27.953389
Belarus,2001,360.37,1299,BY,53.709807,27.953389
Belarus,2002,351.21,1541,BY,53.709807,27.953389
Belarus,2003,65.01,1892,BY,53.709807,27.953389
Belarus,2007,113.49,4898,BY,53.709807,27.953389
Belarus,2008,78.93,6601,BY,53.709807,27.953389
Belarus,2009,133.74,5366,BY,53.709807,27.953389
Belarus,2010,47.02,6371,BY,53.709807,27.953389
Belarus,2011,145.41,6902,BY,53.709807,27.953389
Belarus,2013,232.44,8477,BY,53.709807,27.953389
Belarus,2014,33.17,8849,BY,53.709807,27.953389
Belarus,2018,3.676320628,6360.062473,BY,53.709807,27.953389
Belgium,1985,220.99,9356,BE,50.503887,4.469936
Belgium,1986,155.53,12992,BE,50.503887,4.469936
Belgium,1987,243.11,16165,BE,50.503887,4.469936
Belgium,1988,206.77,17509,BE,50.503887,4.469936
Belgium,1989,82.37,17659,BE,50.503887,4.469936
Belgium,1990,188.54,22032,BE,50.503887,4.469936
Belgium,1991,109.98,22523,BE,50.503887,4.469936
Belgium,1992,129.22,25036,BE,50.503887,4.469936
Belgium,1993,230.42,23875,BE,50.503887,4.469936
Belgium,1994,233.39,25922,BE,50.503887,4.469936
Belgium,1995,153.9,30394,BE,50.503887,4.469936
Belgium,1996,147.39,29438,BE,50.503887,4.469936
Belgium,1997,65.56,26609,BE,50.503887,4.469936
Belgium,1998,186.19,27087,BE,50.503887,4.469936
Belgium,1999,53.43,26969,BE,50.503887,4.469936
Belgium,2000,65.69,24592,BE,50.503887,4.469936
Belgium,2001,85.71,24494,BE,50.503887,4.469936
Belgium,2002,145.49,26526,BE,50.503887,4.469936
Belgium,2003,57.89,32538,BE,50.503887,4.469936
Belgium,2004,54.86,37661,BE,50.503887,4.469936
Belgium,2005,81.33,39124,BE,50.503887,4.469936
Belgium,2006,53.36,41135,BE,50.503887,4.469936
Belgium,2007,144.42,47040,BE,50.503887,4.469936
Belgium,2008,54.1,51345,BE,50.503887,4.469936
Belgium,2009,53.62,47630,BE,50.503887,4.469936
Belgium,2010,94.84,47355,BE,50.503887,4.469936
Belgium,2011,125.58,50893,BE,50.503887,4.469936
Belgium,2012,50.82,47678,BE,50.503887,4.469936
Belgium,2013,50.66,49489,BE,50.503887,4.469936
Belgium,2014,53.46,50173,BE,50.503887,4.469936
Belgium,2015,52.21,42830,BE,50.503887,4.469936
Belgium,2017,4.887844196,44089.31009,BE,50.503887,4.469936
Belgium,2018,4.935655332,47519.5531,BE,50.503887,4.469936
Belize,1986,13.88,1552,BZ,17.189877,-88.49765
Belize,1987,31.41,1920,BZ,17.189877,-88.49765
Belize,1989,5.16,2372,BZ,17.189877,-88.49765
Belize,1990,29.7,2614,BZ,17.189877,-88.49765
Belize,1991,23.93,2742,BZ,17.189877,-88.49765
Belize,1993,6.49,3278,BZ,17.189877,-88.49765
Belize,1994,100.59,3399,BZ,17.189877,-88.49765
Belize,1995,126.95,3436,BZ,17.189877,-88.49765
Belize,1996,61.29,3545,BZ,17.189877,-88.49765
Belize,1997,5.77,3487,BZ,17.189877,-88.49765
Belize,1998,76.15,3531,BZ,17.189877,-88.49765
Belize,1999,83.72,3615,BZ,17.189877,-88.49765
Belize,2000,128.78,3960,BZ,17.189877,-88.49765
Belize,2001,98.4,4013,BZ,17.189877,-88.49765
Belize,2002,34.44,4161,BZ,17.189877,-88.49765
Belize,2003,29.24,4289,BZ,17.189877,-88.49765
Belize,2004,76.37,4449,BZ,17.189877,-88.49765
Belize,2005,35.72,4547,BZ,17.189877,-88.49765
Belize,2006,25,4815,BZ,17.189877,-88.49765
Belize,2007,71.68,4951,BZ,17.189877,-88.49765
Belize,2008,82.22,5098,BZ,17.189877,-88.49765
Belize,2009,44.31,4841,BZ,17.189877,-88.49765
Belize,2010,55.39,4923,BZ,17.189877,-88.49765
Belize,2011,117.77,5098,BZ,17.189877,-88.49765
Belize,2012,70.54,5264,BZ,17.189877,-88.49765
Belize,2013,53.59,5272,BZ,17.189877,-88.49765
Belize,2014,57.7,5448,BZ,17.189877,-88.49765
Belize,2015,120.33,5561,BZ,17.189877,-88.49765
Bosnia and Herzegovina,2011,1.31,5076,BA,43.915886,17.679076
Bosnia and Herzegovina,2014,52.66,5079,BA,43.915886,17.679076
Brazil,1985,46.14,1898,BR,-14.235004,-51.92528
Brazil,1986,43.85,2257,BR,-14.235004,-51.92528
Brazil,1987,13.33,2394,BR,-14.235004,-51.92528
Brazil,1988,47.93,2628,BR,-14.235004,-51.92528
Brazil,1989,51.06,3310,BR,-14.235004,-51.92528
Brazil,1990,53.63,3516,BR,-14.235004,-51.92528
Brazil,1991,55.22,4490,BR,-14.235004,-51.92528
Brazil,1992,28.06,2924,BR,-14.235004,-51.92528
Brazil,1993,56.21,3136,BR,-14.235004,-51.92528
Brazil,1994,12.39,3925,BR,-14.235004,-51.92528
Brazil,1995,62.06,5313,BR,-14.235004,-51.92528
Brazil,1996,43.3,5771,BR,-14.235004,-51.92528
Brazil,1997,43.32,5891,BR,-14.235004,-51.92528
Brazil,1998,51.22,5663,BR,-14.235004,-51.92528
Brazil,1999,50.72,3864,BR,-14.235004,-51.92528
Brazil,2000,50.19,4156,BR,-14.235004,-51.92528
Brazil,2001,30.27,3492,BR,-14.235004,-51.92528
Brazil,2002,56.54,3121,BR,-14.235004,-51.92528
Brazil,2003,56.2,3376,BR,-14.235004,-51.92528
Brazil,2004,32.04,3984,BR,-14.235004,-51.92528
Brazil,2005,53.9,5230,BR,-14.235004,-51.92528
Brazil,2006,57.94,6403,BR,-14.235004,-51.92528
Brazil,2007,38.95,7970,BR,-14.235004,-51.92528
Brazil,2008,17.76,9555,BR,-14.235004,-51.92528
Brazil,2009,58.44,9283,BR,-14.235004,-51.92528
Brazil,2010,34.28,12161,BR,-14.235004,-51.92528
Brazil,2011,59.39,14245,BR,-14.235004,-51.92528
Brazil,2012,31.41,13283,BR,-14.235004,-51.92528
Brazil,2013,42.17,13191,BR,-14.235004,-51.92528
Brazil,2014,59.89,12975,BR,-14.235004,-51.92528
Brazil,2015,63.39,9431,BR,-14.235004,-51.92528
Brazil,2017,2.634469703,9928.675897,BR,-14.235004,-51.92528
Brazil,2018,2.657891507,9151.381732,BR,-14.235004,-51.92528
Brazil,2019,2.219254004,8897.552966,BR,-14.235004,-51.92528
Brunei Darussalam,2017,2.556498619,28571.60829,BN,4.535277,114.727669
Brunei Darussalam,2018,2.532963059,31628.47626,BN,4.535277,114.727669
Brunei Darussalam,2019,1.826283878,31085.96193,BN,4.535277,114.727669
Bulgaria,1985,78.77,2044,BG,42.733883,25.48583
Bulgaria,1986,173.67,2413,BG,42.733883,25.48583
Bulgaria,1987,80.35,3355,BG,42.733883,25.48583
Bulgaria,1988,161.44,2688,BG,42.733883,25.48583
Bulgaria,1989,74.8,2617,BG,42.733883,25.48583
Bulgaria,1990,84.09,2451,BG,42.733883,25.48583
Bulgaria,1991,104.19,1298,BG,42.733883,25.48583
Bulgaria,1992,103.73,1287,BG,42.733883,25.48583
Bulgaria,1993,96.65,1354,BG,42.733883,25.48583
Bulgaria,1994,175.46,1213,BG,42.733883,25.48583
Bulgaria,1995,205.27,1636,BG,42.733883,25.48583
Bulgaria,1996,174.83,1270,BG,42.733883,25.48583
Bulgaria,1997,188.69,1411,BG,42.733883,25.48583
Bulgaria,1998,114.76,1852,BG,42.733883,25.48583
Bulgaria,1999,158.57,1715,BG,42.733883,25.48583
Bulgaria,2000,67.94,1680,BG,42.733883,25.48583
Bulgaria,2001,103,1854,BG,42.733883,25.48583
Bulgaria,2002,58.71,2157,BG,42.733883,25.48583
Bulgaria,2003,49.03,2800,BG,42.733883,25.48583
Bulgaria,2004,41.18,3485,BG,42.733883,25.48583
Bulgaria,2005,43.65,4003,BG,42.733883,25.48583
Bulgaria,2006,91.17,4638,BG,42.733883,25.48583
Bulgaria,2007,40.1,6073,BG,42.733883,25.48583
Bulgaria,2008,116.82,7487,BG,42.733883,25.48583
Bulgaria,2009,70.52,7186,BG,42.733883,25.48583
Bulgaria,2010,91.81,7066,BG,42.733883,25.48583
Bulgaria,2011,92.55,8137,BG,42.733883,25.48583
Bulgaria,2012,33.68,7745,BG,42.733883,25.48583
Bulgaria,2013,51.26,8057,BG,42.733883,25.48583
Bulgaria,2014,30.9,8241,BG,42.733883,25.48583
Bulgaria,2017,2.360108125,8366.293221,BG,42.733883,25.48583
Bulgaria,2018,2.064046068,9446.700772,BG,42.733883,25.48583
Bulgaria,2019,3.698521208,9879.268533,BG,42.733883,25.48583
Cabo Verde,2011,76.83,4124,CV,16.5388,23.0418
Canada,1985,77.24,15522,CA,56.130366,-106.346771
Canada,1986,37.61,16062,CA,56.130366,-106.346771
Canada,1987,37.18,18124,CA,56.130366,-106.346771
Canada,1988,35.89,21069,CA,56.130366,-106.346771
Canada,1989,101.48,23188,CA,56.130366,-106.346771
Canada,1990,117.19,24041,CA,56.130366,-106.346771
Canada,1991,49.58,24038,CA,56.130366,-106.346771
Canada,1992,131.19,22393,CA,56.130366,-106.346771
Canada,1993,32.36,21421,CA,56.130366,-106.346771
Canada,1994,31.39,21219,CA,56.130366,-106.346771
Canada,1995,75.34,21871,CA,56.130366,-106.346771
Canada,1996,30.29,22686,CA,56.130366,-106.346771
Canada,1997,28.6,23245,CA,56.130366,-106.346771
Canada,1998,119.98,22268,CA,56.130366,-106.346771
Canada,1999,51.51,23572,CA,56.130366,-106.346771
Canada,2000,28.1,25589,CA,56.130366,-106.346771
Canada,2001,28.73,25165,CA,56.130366,-106.346771
Canada,2002,82.41,25570,CA,56.130366,-106.346771
Canada,2003,46.61,29787,CA,56.130366,-106.346771
Canada,2004,44.85,33787,CA,56.130366,-106.346771
Canada,2005,85.22,38218,CA,56.130366,-106.346771
Canada,2006,41.52,42566,CA,56.130366,-106.346771
Canada,2007,29.14,46890,CA,56.130366,-106.346771
Canada,2008,29.24,49041,CA,56.130366,-106.346771
Canada,2009,88.29,42933,CA,56.130366,-106.346771
Canada,2010,49.22,49974,CA,56.130366,-106.346771
Canada,2011,74.12,54841,CA,56.130366,-106.346771
Canada,2012,29.71,55347,CA,56.130366,-106.346771
Canada,2013,43.91,55310,CA,56.130366,-106.346771
Canada,2017,7.533129625,45129.35644,CA,56.130366,-106.346771
Canada,2018,7.149585847,46548.52036,CA,56.130366,-106.346771
Canada,2019,8.888007121,46338.34096,CA,56.130366,-106.346771
Chile,1985,95.36,1658,CL,-35.675147,-71.542969
Chile,1986,37.92,1728,CL,-35.675147,-71.542969
Chile,1987,77.61,1985,CL,-35.675147,-71.542969
Chile,1988,82.71,2303,CL,-35.675147,-71.542969
Chile,1989,89.6,2599,CL,-35.675147,-71.542969
Chile,1990,53.52,2828,CL,-35.675147,-71.542969
Chile,1991,85.47,3187,CL,-35.675147,-71.542969
Chile,1992,45.71,3791,CL,-35.675147,-71.542969
Chile,1993,93.62,4006,CL,-35.675147,-71.542969
Chile,1994,60.87,4551,CL,-35.675147,-71.542969
Chile,1995,49.91,5695,CL,-35.675147,-71.542969
Chile,1996,84.76,5946,CL,-35.675147,-71.542969
Chile,1997,88.47,6368,CL,-35.675147,-71.542969
Chile,1998,75.54,6023,CL,-35.675147,-71.542969
Chile,1999,68.87,5470,CL,-35.675147,-71.542969
Chile,2000,132.18,5584,CL,-35.675147,-71.542969
Chile,2001,52.06,5020,CL,-35.675147,-71.542969
Chile,2002,107.43,4866,CL,-35.675147,-71.542969
Chile,2003,21.62,5208,CL,-35.675147,-71.542969
Chile,2004,135.14,6744,CL,-35.675147,-71.542969
Chile,2005,38.6,8256,CL,-35.675147,-71.542969
Chile,2006,75.4,10270,CL,-35.675147,-71.542969
Chile,2007,125.99,11387,CL,-35.675147,-71.542969
Chile,2008,87.45,11653,CL,-35.675147,-71.542969
Chile,2009,144.86,11062,CL,-35.675147,-71.542969
Chile,2010,137.12,13874,CL,-35.675147,-71.542969
Chile,2011,135.97,15854,CL,-35.675147,-71.542969
Chile,2012,39.35,16617,CL,-35.675147,-71.542969
Chile,2013,113.23,17140,CL,-35.675147,-71.542969
Chile,2014,20.17,15883,CL,-35.675147,-71.542969
Chile,2015,95.13,14729,CL,-35.675147,-71.542969
Chile,2017,4.202829648,14998.81706,CL,-35.675147,-71.542969
Chile,2018,7.277510568,15888.14436,CL,-35.675147,-71.542969
"China, Hong Kong SAR",2017,0.028362395,8816.986905,CN,35.86166,104.195397
Colombia,1985,20.15,1393,CO,4.570868,-74.297333
Colombia,1986,25.02,1366,CO,4.570868,-74.297333
Colombia,1987,12.44,1299,CO,4.570868,-74.297333
Colombia,1988,7.75,1369,CO,4.570868,-74.297333
Colombia,1989,7.05,1350,CO,4.570868,-74.297333
